time;throughput;snd_responsetime;rcv_responsetime
670;2.0;7829.15125;7827.049546
671;2.0;7828.647778;7827.810132
672;2.0;7830.738506;7823.752482
673;2.0;7829.32557;7826.509094
674;1103.0;203.606435509;92.125635594
675;1596.0;27.4253396431;14.2124673129
676;1614.0;27.0434039533;14.7790352141
677;1652.0;25.3257814108;14.6090570902
678;1604.0;24.6666545864;15.663464066
679;1332.0;31.9841073587;17.3366033668
680;1705.0;25.0776405201;13.7595197205
681;1695.0;23.9407479175;14.2479557164
682;1646.0;24.3399767884;14.5154524099
683;1606.0;25.981560294;15.4536078601
684;1655.0;25.0383653554;14.5657491936
685;1642.0;24.7805702342;14.8287145106
686;1695.0;24.3999650633;14.2025720613
687;1674.0;25.4871177174;14.0988762834
688;1678.0;24.5196510089;14.0905067901
689;1636.0;25.4972271447;14.2135830991
690;1556.0;26.2682728359;16.3189008149
691;1031.0;42.7027471246;22.2950404883
692;1984.0;21.1674665265;11.9684910189
693;1994.0;20.8710162404;12.0463871953
694;1780.0;22.5850605409;13.6248274471
695;1690.0;23.2942414056;14.9227143491
696;1673.0;23.4879974268;14.3818701824
697;1745.0;24.0900457595;14.3844979776
698;1728.0;23.6420408201;14.1190669591
699;1725.0;24.3817809516;13.8018055873
700;1512.0;28.672181006;15.2837666036
701;1685.0;23.8811019309;14.5078545361
702;1719.0;23.5866321499;14.0188242959
703;1695.0;24.426279548;13.958669279
704;1444.0;24.9251169772;14.3324128087
705;210.0;153.565109754;104.698273738
706;19.0;403.5432882;287.944534929
707;2.0;3859.565608;4200.761247
708;2.0;3861.486107;3697.303677
709;42.0;4090.5300762;1474.60286426
710;2.0;4755.83174;7783.87509
711;2.0;4758.992929;4755.219059
712;2.0;4758.566906;4740.201272
713;2.0;4757.930038;4748.089589
714;162.0;792.903023786;668.011425283
715;1701.0;24.3558604921;13.9203146182
716;1708.0;24.764349088;14.101688186
717;1647.0;25.6619466082;13.7338872344
718;1655.0;25.8934853499;14.258074217
719;1742.0;24.3528573396;13.6771024685
720;1661.0;24.7953633185;13.5412611829
721;1806.0;23.5749317389;13.7910307485
722;1668.0;23.6193496637;13.9046322732
723;1796.0;23.2618647308;13.4300266534
724;1638.0;26.2677356152;14.8796941196
725;1733.0;24.608447531;13.2262462186
726;1674.0;25.2342420519;14.1556619211
727;1712.0;23.7340769947;14.6468809124
728;1702.0;25.1442314318;13.5799800487
729;1718.0;25.0798364336;13.5555069005
730;1642.0;24.7710195787;14.9323355914
731;1464.0;28.729183167;16.114730739
732;1463.0;29.808710827;15.6831112008
733;1953.0;21.7787050289;11.9958837583
734;2135.0;19.7340501296;11.0076562709
735;1775.0;23.0511205946;13.6965312351
736;1698.0;23.0778615781;14.9084503084
737;1778.0;22.8615552;13.5645667281
738;1749.0;23.943974494;13.9224799699
739;1719.0;24.4525502263;13.9720600992
740;1686.0;23.6998629002;14.6984267956
741;1721.0;22.7232128503;14.4862148694
742;1638.0;25.1142071603;14.4735139467
743;1665.0;24.8937646315;14.6122258816
744;1686.0;24.7284593304;14.1678850518
745;1331.0;24.0738717477;13.7243039504
